Location	Label	Instr.	Ref	OBCode	
_______	PROG1X	START	0000	_______	
0000	_______	LDA	REF0	000150	
0003	_______	STA	REF1	0C0021	
0006	REF6	LDX	REF1	040021	
0009	_______	LDA	REF0	000150	
000c	_______	STA	REF2,X	0C8024	
000f	_______	LDA	REF1	000021	
0012	_______	ADD	REF3	180156	
0015	_______	STA	REF1	0C0021	
0018	_______	COMP	REF4	280153	
001b	_______	TIX	REF5	2C0159	
001e	_______	JLT	REF6	380006	
0021	REF1	resw	1	_______	
0024	REF2	resw	100	_______	
0150	REF0	word	0	000000	
0153	REF4	word	100	000064	
0156	REF3	word	3	000003	
0159	REF5	word	20	000014	
015c	_______	END	0000	_______	
